segment_id,function_class,lane_number,speed_class,road_length,out_degree,trajectory_count,medium_speed,other_attrs_json
5032240930,5,1,6,96,3,5,13,
3283190,5,1,7,63,4,5,8,
90000013436991,5,1,6,28,3,5,12,
3086060,4,1,6,38,3,5,5,
116068130,5,2,6,18,2,5,8,
90001715183080,5,1,6,38,3,5,10,
3524660,5,1,6,110,4,5,14,
2717890,5,1,6,167,4,5,0,
4719401,5,1,6,72,3,5,0,
90000229980370,5,1,6,114,3,5,14,
90000573205730,5,1,6,105,3,5,4,
323231130,5,1,7,24,3,5,0,
331264100,5,1,5,14,2,5,5,
5749130,5,1,6,156,2,5,10,
878188261,5,1,6,20,2,5,0,
90001631986870,5,1,6,46,3,5,2,
146559630,5,1,6,58,2,5,2,
90001909799570,5,1,6,43,3,5,4,
90000001210040,5,1,7,97,4,5,3,
6949880,5,1,6,63,3,5,4,
7955690,5,1,6,108,2,5,6,
202673811,5,1,6,54,6,5,5,
141904980,5,1,6,11,3,5,5,
704054991,5,1,6,38,3,5,0,
90000888758821,5,1,7,79,3,5,12,
397551490,5,1,6,79,3,5,5,
90000219797321,5,1,6,91,3,5,8,
633452211,5,1,6,28,3,6,1,
6360170,5,1,6,37,3,5,4,
90001262961370,5,1,6,48,3,5,0,
1088591710,5,1,6,51,2,5,4,
691147350,5,1,6,77,2,5,9,
90001817635150,5,1,6,150,2,5,0,
2970651,5,1,6,136,3,5,7,
5092246310,5,1,6,228,3,5,11,
90000994754311,5,1,5,119,2,5,0,
6456881,5,1,6,148,3,5,9,
202115680,5,1,7,35,3,5,5,
90001425269331,5,1,6,36,3,5,9,
317658521,5,1,6,41,2,5,0,
90002003133600,5,1,6,69,3,5,10,
632935921,5,1,5,45,2,5,6,
90000863299000,5,1,6,291,3,5,0,
302445351,5,1,6,69,3,5,8,
155880500,5,1,6,302,2,5,12,
422363721,5,1,6,58,2,5,2,
657013470,5,1,6,68,3,5,5,
90001055543891,5,1,6,91,3,5,12,
90001377170230,5,1,6,128,3,5,7,
180594960,5,1,6,60,2,5,17,
90000468492841,5,1,5,59,4,5,6,
4302640,5,1,7,98,2,5,0,
90001800056970,5,1,6,66,3,5,14,
400144910,5,1,6,148,3,5,0,
198591871,5,1,6,60,2,5,10,
723051771,5,1,6,90,3,5,6,
856619910,3,1,6,32,3,5,7,
7040221,5,1,6,6,3,0,2,
879049101,5,1,6,28,3,5,10,
90001583281570,5,1,6,196,3,5,8,
141904730,5,1,6,92,2,5,3,
90000001458740,5,1,6,86,3,5,0,
4735591,5,1,6,117,3,5,5,
146137111,5,1,6,30,2,5,5,
879483941,5,1,6,13,3,5,1,
589468901,5,1,8,56,2,5,7,
778627000,5,1,6,56,3,5,10,
1032243851,5,1,6,43,3,5,0,
296915851,5,1,6,13,3,5,8,
473463291,5,1,6,47,4,5,5,
499639991,5,1,6,27,3,5,0,
6061324200,5,2,5,15,1,5,3,
90001377089700,5,1,6,32,3,5,8,
418672721,5,1,6,55,2,5,8,
90000333225450,5,1,7,17,3,5,7,
428627771,5,1,6,100,3,5,5,
90000013348851,5,1,6,79,4,5,3,
90001164542891,5,1,6,36,3,5,1,
3193281,3,1,6,60,3,5,5,
90000012666240,5,1,6,46,3,5,9,
90001821578221,5,1,6,65,3,5,8,
90000220555121,5,1,7,168,3,5,5,
90001811971400,5,1,6,25,3,5,9,
90000251108250,5,1,6,37,3,5,6,
723052121,5,1,6,23,3,5,4,
618842301,5,1,6,99,3,5,2,
90000226955291,5,1,6,88,3,5,5,
90000882604831,5,1,6,77,3,5,9,
333397191,5,1,6,78,3,5,2,
180589390,5,1,6,27,3,5,6,
90001630941010,5,1,6,15,2,5,3,
3496711,5,1,6,61,3,5,11,
90001501302410,5,1,6,453,3,5,12,
90000895168780,5,1,6,112,2,5,7,
5121000,4,2,5,16,2,5,3,
725161850,5,1,6,194,3,5,13,
90001277550810,5,1,6,415,1,5,10,
187839531,5,2,5,39,4,5,1,
5903810,5,1,5,12,3,0,5,
3147531,3,1,6,13,3,5,7,
90000259687620,5,1,6,25,3,5,0,
90000237281981,5,1,6,43,4,5,2,
142268530,5,1,6,38,1,5,5,
90001386747540,5,1,5,90,3,5,0,
173082700,5,1,6,24,3,5,6,
9926760,5,1,6,99,3,5,3,
879051920,5,1,6,161,4,5,7,
90000221965681,5,1,6,224,3,5,7,
